CodDistritoConcelho,P_IP_Total,P_IP_Inef,Cap_PTD,Util_Media,N_PTDs,Delta_PLED,PFolga,PVE,D,Rate_Ineficiencia
804,344.5854011154175,144.68,27663,0.5098076923076923,160,94.042,12475.374623076925,2112.0,10457.416623076924,0.4198668879519363
805,1191.1385030021668,427.81,149685,0.5549370277078086,414,278.0765,61289.71092695214,5464.8,56102.98742695214,0.35916058369512865
806,1095.029799987793,971.2,87243,0.5145419847328244,269,631.2800000000001,38964.58853587786,3550.7999999999997,36045.06853587786,0.8869165021909236
807,928.0446008892059,515.18,130995,0.47466472303206997,348,334.86699999999996,63310.99103790088,4593.599999999999,59052.25803790088,0.555124182077435
808,2669.365205860138,1518.075,301354,0.5522379912663755,936,986.7487500000001,124140.08258951966,12355.199999999999,112771.63133951966,0.5687026251287476
809,153.5996003265381,60.260000000000005,15390,0.43696551724137933,151,39.169000000000004,7971.892634482759,1993.1999999999998,6017.861634482759,0.39231872916266053
810,667.96520246315,192.54999999999998,82910,0.5547307692307691,270,125.1575,33963.89016923078,3564.0,30525.04766923078,0.2882635192521462
811,1167.1427037010194,583.3,201005,0.46320754716981133,430,379.145,99266.1296226415,5676.0,93969.2746226415,0.4997675075638572
812,283.3234005966186,141.73999999999998,21260,0.6292233009708738,107,92.13099999999999,7252.095611650487,1412.3999999999999,5931.826611650487,0.5002763615766498
813,908.6937012424469,400.195,133485,0.5012649572649572,593,260.12675,61247.75540512821,7827.599999999999,53680.28215512822,0.44040692639644996
814,857.4447037906647,281.32,96410,0.5016752577319588,394,182.858,44200.00932989691,5200.8,39182.067329896905,0.32809112792500383
815,238.23500130844116,83.015,33415,0.37813559322033896,121,53.95975,19117.231220338985,1597.2,17573.990970338986,0.34845845297316774
816,530.2743009223938,221.29000000000002,55180,0.5740298507462687,142,143.8385,21624.630208955226,1874.3999999999999,19894.068708955227,0.41731232234915727
901,225.73130012893677,66.80499999999999,14790,0.5160176991150442,116,43.423249999999996,6585.450371681416,1531.2,5097.673621681416,0.29594921024173987
902,365.3771002578735,68.64,17633,0.4479545454545455,137,44.616,8955.480099999999,1808.3999999999999,7191.696099999999,0.18786070597077842
903,269.78160001373294,5.54,16470,0.4753900709219858,144,3.601,7949.099489361703,1900.8,6051.900489361702,0.02053512915527965
904,312.27300003433226,112.54,15070,0.42339130434782607,124,73.15100000000001,7994.3336,1636.8,6430.6846,0.3603897871017572
905,190.79070008850096,8.5,9816,0.4375,89,5.525,5079.780000000001,1174.8,3910.505,0.04455143775905825
906,567.7020987739563,263.32,25363,0.5007236842105263,153,171.15800000000002,11650.09358157895,2019.6,9801.65158157895,0.4638348185935577
907,1167.3568999977113,131.695,104049,0.46913555992141454,523,85.60175,50817.0409956778,6903.599999999999,43999.042745677805,0.11281468418121159
908,197.475,194.23,7000,0.54,36,126.2495,2962.3999999999996,475.2,2613.4494999999997,0.9835675401949614
909,183.168,0.0,13600,0.38341666666666663,125,0.0,7714.690666666667,1650.0,6064.690666666667,0.0
910,378.8654000091553,85.485,22405,0.4287209302325581,184,55.56525,11775.546953488374,2428.7999999999997,9402.312203488375,0.2256342225970866
911,500.37380000305177,20.45,31276,0.4770238095238095,261,13.2925,15048.075066666668,3445.2,11616.167566666667,0.04086944600191952
912,542.575,0.8200000000000001,44411,0.5224902723735408,262,0.533,19510.149752529185,3458.4,16052.282752529185,0.0015113118002119522
913,431.63470009613036,93.03,22911,0.5041875,177,60.469500000000004,10450.7953725,2336.4,8174.8648725,0.21552947429685582
914,253.69140002441407,15.36,18660,0.463030303030303,149,9.984,9218.266181818182,1966.8,7261.4501818181825,0.06054600194772793
1001,1267.69550343132,546.7,130335,0.5571933085501859,554,355.355,53096.15331970261,7312.8,46138.70831970261,0.4312549808059003
1002,273.2832014312744,62.64500000000001,18035,0.4706451612903226,128,40.71925000000001,8783.161354838709,1689.6,7134.280604838708,0.2292310675222899
1003,339.9068013305664,0.0,25198,0.5162328767123288,149,0.0,11214.766854794521,1966.8,9247.966854794522,0.0
1004,319.60750201797487,104.237,31245,0.5823529411764705,157,67.75404999999999,12005.431764705885,2072.4,10000.785814705885,0.3261406548402536
1005,191.70830019760132,6.41,26195,0.6045238095238096,128,4.1665,9530.738904761904,1689.6,7845.3054047619025,0.03343621529893573
1006,779.7924995002746,50.07,104190,0.577458432304038,429,32.545500000000004,40502.637463182895,5662.8,34872.38296318289,0.06420938907733412
1007,123.03940045166016,28.06,5970,0.5140476190476191,42,18.239,2669.0448571428574,554.4,2132.8838571428573,0.22805702804951686
